original_paper_ID,original_paper_bib,abstract,replication_score
O34,"Barcroft, J. (2001). Acoustic variation and lexical acquisition. Language Learning, 51, 563–590. https://doi.org/10.1111/0023-8333.00168","This study examined how acoustic variation affects second language (L2) lexical acquisition in consideration of four hypotheses: degraded input, elaborative processing, independent modulation, and robust versus strong connectivity.Absolute beginners in L2 Spanish attempted to learn 24 Spanish words. Each word was presented in 1 of 3 degrees of acoustic variation: no variation (6 repetitions of neutral only), moderate variation (2 repetitions each of neutral, loud, and whispered), and strong variation (1 repetition each of neutral, loud, whispered, excited, childlike, and nasal). Immediate and delayed lexical production post-tests were administered. Scores were submitted to an analysis of variance. No significant differences between the learning conditions were observed. The results are interpreted based on two approaches, one modular and one interactive.",partial
O35,"Ellis, N. C., & Sagarra, N. (2010). The bounds of adult language acquisition: Blocking and learned attention. Studies in Second Language Acquisition, 32, 553–580. https://doi.org/10.1017/S0272263110000264","The current study investigates the limited attainment of adult language acquisition in terms of an associative learning phenomenon whereby earlier learned cues attentionally block those that are experienced later. Short- and long-term blocking are demonstrated in experimental investigations of learned attention in the acquisition of temporal reference in a small set of Latin phrases. In Experiment 1, previous experience with adverbial cues blocks the acquisition of verbal tense morphology, and, in contrast, early experience with tense blocks later learning of adverbs. Experiment 2 demonstrates long-term transfer effects: Native speakers of Chinese languages, which do not exhibit verb tense morphology, fail to acquire inflectional cues when adverbial and verbal cues are equally available.",yes
O36,"Fernández, C. (2008). REEXAMINING THE ROLE OF EXPLICIT INFORMATION IN PROCESSING INSTRUCTION. Studies in Second Language Acquisition, 30(3), 277–305. https://doi.org/10.1017/S0272263108080467","The present study sought to observe, through online treatments, whether explicit information assists acquisition in a way that has not been measured in previous processing instruction (PI) studies. Two experiments examined learners' behavior while they processed Spanish sentences with object-verb-subject (OVS) word order and Spanish subjunctive under two treatments: with explicit information (the PI group) and without explicit information (the structured input [SI] group). Participants in both groups worked individually with a computer and processed a series of 30 SI items. They received feedback right after each response, and both accuracy and response time were recorded. It was expected that learners in the PI group would start to process both of the linguistic targets sooner in the sequence of input items and would submit their responses faster than learners in the SI group, because explicit information in the PI treatment would help learners notice the target items early in the series. The results showed no difference between the SI group and the PI group when processing OVS sentences, but the PI group processed subjunctive forms sooner and faster than the SI group. The results suggest that the benefits of explicit information might depend on the nature of the task and the processing problem.",no
O37,"Glucksberg, S., McGlone, M. S., & Manfredi, D. (1997). Property attribution in metaphor comprehension. Journal of Memory and Language, 36, 50–67. https://doi.org/10.1006/jmla.1996.2479","Metaphors of the formX is a Ymay be conceived as statements of property attribution, in which properties of the vehicleYare attributed to the topicX. The properties attributed from the vehicle to the topic are those that are epitomized by the vehicle, and may characterize a dimension of within-category variation in the topic. We report two experiments that tested the implications of this “property attribution” view of metaphor comprehension. One implication of this view is that metaphors are not implicitly transformed into comparisons (X is like a Y), but rather are understood as what they appear to be: class-inclusion assertions. If metaphors are understood as class-inclusion assertions, they should either change meaning or become nonsensical when reversed. Experiment 1 provides evidence for this claim. A second implication of the property attribution view is that topics and vehicles provide different kinds of information to guide and constrain the comprehension process. Experiment 2 provides evidence for this claim. These findings cannot be accounted for by models which assume that metaphors are understood as implicit comparisons.",no
O38,"Machery, E., Mallon, R., Nichols, S., & Stich, S. P. (2004). Semantics, cross-cultural style. Cognition, 92(3), B1–B12. https://doi.org/10.1016/j.cognition.2003.10.003","Theories of reference have been central to analytic philosophy, and two views, the descriptivist view of reference and the causal-historical view of reference, have dominated the field. In this research tradition, theories of reference are assessed by consulting one's intuitions about the reference of terms in hypothetical situations. However, recent work in cultural psychology (e.g. Nisbett, R. E., Peng, K., Choi, I., & Norenzayan, A. (2001). Culture and systems of thought: holistic vs. analytic cognition. Psychological Review, 108, 291–310.) has shown systematic cognitive differences between East Asians and Westerners, and some work indicates that this extends to intuitions about philosophical cases (Weinberg, J., Nichols, S., & Stich, S. (2001). Normativity and epistemic intuitions. Philosophical Topics 29(1&2), 429–459.) In light of these findings on cultural differences, an experiment was conducted which explored intuitions about reference in Westerners and East Asians. The experiment indicated that, for certain central cases, Westerners are more likely than East Asians to report intuitions that are consistent with the causal-historical view. These results constitute prima facie evidence that semantic intuitions vary from culture to culture, and the paper argues that this fact raises questions about the nature of the philosophical enterprise of developing a theory of reference.",yes
O39,"Prior, A. (2012). Too much of a good thing: Stronger bilingual inhibition leads to larger lag-2 task repetition costs. Cognition, 125(1), 1–12. https://doi.org/10.1016/j.cognition.2012.06.019","Inhibitory control and monitoring abilities of Hebrew-English bilingual and English monolingual university students were compared, in a paradigm requiring participants to switch between performing three distinct tasks. Inhibitory control was gauged by lag-2 task repetition costs, namely decreased performance on the final trial of sequences of type ABA relative to CBA, due to persisting inhibition of the recently abandoned task. Bilinguals had larger lag-2 repetition costs, which reflect stronger inhibition of a no-longer relevant task to facilitate a switch into a new task. Monitoring ability was measured by the fadeout effect, which reflects adaptation to simpler task demands when a single task block immediately and unexpectedly follows mixed task blocks. Bilinguals did not differ from monolinguals in the magnitude or trajectory of the fade-out effect. Thus, results support the notion of increased bilingual inhibitory control, even when it is detrimental to performance, and do not demonstrate a specific bilingual advantage in monitoring. These findings are discussed in the context of the recent debate concerning the locus of bilingual advantages.",no
O40,"Levy, B., McVeigh, N., Marful, A., & Anderson, M. (2007). Inhibiting Your Native Language: The Role of Retrieval-Induced Forgetting During Second-Language Acquisition. Psychological Science, 18, 29–34. https://doi.org/10.1111/j.1467-9280.2007.01844.x","After immersion in a foreign language, speakers often have difficulty retrieving native-language words--a phenomenon known as first-language attrition. We propose that first-language attrition arises in part from the suppression of native-language phonology during second-language use, and thus is a case of phonological retrieval-induced forgetting. In two experiments, we investigated this hypothesis by having native English speakers name visual objects in a language they were learning (Spanish). Repeatedly naming the objects in Spanish reduced the accessibility of the corresponding English words, as measured by an independent-probe test of inhibition. The results establish that the phonology of the words was inhibited, as access to the concepts underlying the presented objects was facilitated, not impaired. More asymmetry between English and Spanish fluency was associated with more inhibition for native-language words. This result supports the idea that inhibition plays a functional role in overcoming interference during the early stages of second-language acquisition.",partial
O41,"Tremblay, A., Broersma, M., Coughlin, C. E., & Choi, J. (2016). Effects of the native language on the learning of fundamental frequency in second-language speech segmentation. Frontiers in Psychology, 7. https://doi.org/10.3389/fpsyg.2016.00985","This study investigates whether the learning of prosodic cues to word boundaries in speech segmentation is more difficult if the native and second/foreign languages (L1 and L2) have similar (though non-identical) prosodies than if they have markedly different prosodies (Prosodic-Learning Interference Hypothesis). It does so by comparing French, Korean, and English listeners’ use of fundamental-frequency (F0) rise as a cue to word-final boundaries in French. F0 rise signals phrase-final boundaries in French and Korean but word-initial boundaries in English. Korean-speaking and English-speaking L2 learners of French, who were matched in their French proficiency and French experience, and native French listeners completed a visual-world eye-tracking experiment in which they recognized words whose final boundary was or was not cued by an increase in F0. The results showed that Korean listeners had greater difficulty using F0 rise as a cue to word-final boundaries in French than French and English listeners. This suggests that L1–L2 prosodic similarity can make the learning of an L2 segmentation cue difficult, in line with the proposed Prosodic-Learning Interference Hypothesis. We consider mechanisms that may underlie this difficulty and discuss the implications of our findings for understanding listeners’ phonological encoding of L2 words.",?
O42,"Nurmsoo, E., & Bloom, P. (2008). Preschoolers’ perspective taking in word learning: Do they blindly follow eye gaze? Psychological Science, 19, 211–215. https://doi.org/10.1111/j.1467-9280.2008.02069.x","When learning new words, do children use a speaker's eye gaze because it reveals referential intent? We conducted two experiments that addressed this question. In Experiment 1, the experimenter left while two novel objects were placed where the child could see both, but the experimenter would be able to see only one. The experimenter returned, looked directly at the mutually visible object, and said either, ""There's the [novel word]!"" or ""Where's the [novel word]?"" Two- through 4-year-olds selected the target of the speaker's gaze more often on there trials than on where trials, although only the older children identified the referent correctly at above-chance levels on trials of both types. In Experiment 2, the experimenter placed a novel object where only the child could see it and left while the second object was similarly hidden. When she returned and asked, ""Where's the [novel word]?"" 2- through 4-year-olds chose the second object at above-chance levels. Preschoolers do not blindly follow gaze, but consider the linguistic and pragmatic context when learning a new word. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",yes
O43,"Sung, C. C. M. (2010). Being a ‘Purist’ in Hong Kong: To Use or Not to Use Mixed Code. Changing English, 17(4), 411–419. https://doi.org/10.1080/1358684X.2010.528875","This paper reports on my first‐hand experiences of being a ‘purist’ in Hong Kong, during which time I was not allowed to use mixed code, a common discursive practice among Hongkongers in Hong Kong. I shall discuss the difficulties in using ‘pure’ English and ‘pure’ Chinese in my daily life, as well as exploring the problems I encountered when I used ‘pure’ English in teaching English to a small group of ESL students at a primary school in Hong Kong. I argue that mixed code is very much characteristic of everyday language use by most Hongkongers and represents an important marker of their ethno‐linguistic identity. In relation to language teaching, I suggest that mixed code may be usefully adopted in teaching English in Hong Kong, rather than being shunned at all costs.",yes
O44,"Linzen, T., & Jaeger, T. F. (2016). Uncertainty and Expectation in Sentence Processing: Evidence From Subcategorization Distributions. Cognitive Science, 40(6), 1382–1411. https://doi.org/10.1111/cogs.12274","There is now considerable evidence that human sentence processing is expectation based: As people read a sentence, they use their statistical experience with their language to generate predictions about upcoming syntactic structure. This study examines how sentence processing is affected by readers' uncertainty about those expectations. In a self-paced reading study, we use lexical subcategorization distributions to factorially manipulate both the strength of expectations and the uncertainty about them. We compare two types of uncertainty: uncertainty about the verb's complement, reflecting the next prediction step; and uncertainty about the full sentence, reflecting an unbounded number of prediction steps. We find that uncertainty about the full structure, but not about the next step, was a significant predictor of processing difficulty: Greater reduction in uncertainty was correlated with increased reading times (RTs). We additionally replicated previously observed effects of expectation violation (surprisal), orthogonal to the effect of uncertainty. This suggests that both surprisal and uncertainty affect human RTs. We discuss the consequences for theories of sentence comprehension.",yes
O45,"STETSON, R. H. (1951). Motor phonetics. 2nd ed. Amsterdam: North-Holland.","An application of the analysis of skilled movements to the processes of speech. Oscillograph methods were employed to record the muscular contractions of the speech apparatus, including thoracic and abdominal movements. The material has been organized into 8 parts: Basic concepts of phonology; Methods and apparatus in experimental phonetics; Coordinations of the movements of speech; Influence of the phonetic units on each other; Classification of phonemes; Stress and rate and their relation to the syllable and to the breath group; The breath group in English dependent on the stress pattern of the words; Rhythm and the characteristic utterance of a language. 107-item bibliography; glossary of motor phonetic terms.",yes
O46,"Dupoux, E., Kakehi, K., Hirose, Y., Pallier, C., & Mehler, J. (1999). Epenthetic vowels in Japanese: A perceptual illusion? Journal of Experimental Psychology: Human Perception and Performance, 25, 1568–1578. https://doi.org/10.1037/0096-1523.25.6.1568","In four cross-linguistic experiments comparing French and Japanese hearers, we found that the phonotactic properties of Japanese (very reduced set of syllable types) induce Japanese listeners to perceive “illusory” vowels inside consonant clusters in VCCV stimuli. In Experiments 1 and 2, we used a continuum ofstimuli ranging from no vowel (e.g. ebzo) to a full vowel between the consonants (e.g. ebuzo). Japanese, but not French participants, reported the presence of a vowel [u] between consonants, even in stimuli with no vowel. A speeded ABX discrimination paradigm was used in Experiments 3 and 4, and revealed that Japanese participants had trouble discriminating between VCCV and VCuCV stimuli. French participants, in contrast had problems discriminating items that differ in vowel length (ebuzo vs. ebuuzo), a distinctive contrast in Japanese but not in French. We conclude that models of speech perception have to be revised to account for phonotactically-based assimilations.",yes
O47,"Kazanas, S. A., & Altarriba, J. (2015). The Automatic Activation of Emotion and Emotion-Laden Words: Evidence from a Masked and Unmasked Priming Paradigm. The American Journal of Psychology, 128(3), 323–336. https://doi.org/10.5406/amerjpsyc.128.3.0323","A primed lexical decision task (LDT) was used to determine whether emotion (e.g., love, fear) and emotion-laden (e.g., puppy, hospital) word processing differs, both explicitly and implicitly. Previous experiments have investigated how emotion word processing differs from both abstract and concrete word processing (Altarriba & Bauer, 2004; Altarriba, Bauer, & Benvenuto, 1999). To assess for differences between emotion and emotion-laden word processing, 2 experiments were conducted, the first assessing explicit processing (using an unmasked LDT) and the second assessing automatic processing (using a masked LDT). The prediction that semantic priming would differ between emotion word pairs and emotion-laden word pairs was confirmed in both experiments, with shorter response times for emotion targets and greater priming effects for emotion word pairs than for emotion-laden word pairs. The role of valence is discussed, emphasizing the ways valence affects the speed with which these words are accessed and processed.",yes
O48,"Johnson, K., Flemming, E., & Wright, R. (1993). The Hyperspace Effect: Phonetic Targets Are Hyperarticulated. Language, 69(3), 505. https://doi.org/10.2307/416697","A commonly made, but rarely defended, assumption is that phonetic reduction processes apply to hyperarticulated phonetic targets. Results from experiments reported in this paper support this assumption. In various experimental conditions, listeners adjusted the input parameters of a speech synthesizer until the vowels it produced sounded like the vowels found in a set of example words. A preliminary study indicated that the method of adjustment is a feasible tool for studying vowel systems. Interestingly, listeners in the study chose vowels that were systematically different from those measured in productions of the set of example words: high vowels were higher, low vowels were lower, front vowels were farther front, and back vowels were farther back. We hypothesized that this extreme vowel space corresponds to phonetic targets that are hyperarticulated: HYPERSPACE. This hypothesis was tested in the two main experiments. The first experiment controlled for possible effects of instructions and phonetic training on the listeners' choices. In the second experiment, we improved the naturalness and distinctiveness of the synthetic vowels. The results indicate that the extreme vowels chosen by the listeners were consistent with those produced in hyperarticulated speech; moreover, the hyperspace effect is robust across experimental conditions. These results validate the hypothesis that phonetic targets are hyperarticulated, and are consistent with a two-stage model of phonetic implementation: at the first stage distinctive features are mapped to hyperarticulated phonetic targets, and at the second stage these phonetic targets are reduced.",partial
O49,"Romero-Fresco, Pablo (2016). “The dubbing effect: An eye-tracking study comparing the reception of original and dubbed films.” Paper presented at Linguistic and Cultural Representation in Audiovisual Translation (Sapienza Università di Roma and Università degli Studi di Roma Tre, 11-13 February).",NA,no
O50,"Avcu, E., & Hestvik, A. (2020). Unlearnable phonotactics. Glossa a Journal of General Linguistics, 5, 56. https://doi.org/10.5334/gjgl.892","The Subregular Hypothesis (Heinz 2010) states that only patterns with specific subregular computational properties are phonologically learnable. Lai (2015) provided the initial laboratory support for this hypothesis. The current study aimed to replicate and extend the earlier findings by using a different experimental paradigm (oddball task) and a different measure of learning (sensitivity index, d′). Specifically, we compared the learnability of two phonotactic patterns that differ computationally and typologically: a simple rule (“First-Last Assimilation”) that requires agreement between the first and last segment of a word (predicted to be unlearnable), and a harmony rule (“Sibilant Harmony”) that requires the agreement of features throughout the word (predicted to be learnable). The First-Last Assimilation rule was tested under two experimental conditions: one where the training data were also consistent with the Sibilant Harmony rule, and one where the training data were only consistent with the First-Last rule. As in Lai (2015), we found that participants were significantly more sensitive to violations of the Sibilant Harmony (SH) rule than to the First-Last Assimilation (FL) rules. However, unlike Lai (2015), we also found that participants showed some residual sensitivity to the First-Last rule, but that sensitivity interacted with rule type so that participants were significantly more sensitive to SH rule violations. We conclude that participants in Artificial Grammar Learning experiments exhibit evidence of Universal Grammar constraining their learning, but patterns predicted to be unlearnable as a linguistic system can still be learned to some degree, due to non-linguistic learning mechanisms",partial
O51,"Chemla, E., & Bott, L. (2015). Using Structural Priming to Study Scopal Representations and Operations. Linguistic Inquiry, 46(1), 157–172. https://doi.org/10.1162/LING_a_00178","The universal interpretation in (2a) is surface scope: the scopal relation between the universal quantifier every and the existential quantifier a matches the order and hierarchy in which they appear in (1). The interpretation in (2b) is reverse scope: the scopal relation is reversed between the sentence and the interpretive level. Our point of departure is an interesting finding by Raffray and Pickering (2010), who demonstrated that people can be primed to derive particular scopal interpretations (see details below). In this squib, we emphasize that such priming results are useful either to characterize realistic layers of linguistic representation or to confirm the existence of linguistic operations of certain kinds. We do so by discussing two possible interpretations of Raffray and Pickering’s results and testing them in an experiment.",yes
O52,"de Boer, B. (2010). Investigating the acoustic effect of the descended larynx with articulatory models. Journal of Phonetics, 38(4), 679–686. https://doi.org/10.1016/j.wocn.2010.10.003","A strongly simplified articulatory model, as well as three more realistic models are investigated for the effect of larynx height on the extent of vowel signaling space. The models explore a larger range of larynx positions than previous models, and the use of the convex hull for measuring articulatory abilities is introduced. A short study of human data is also reported. It is found in all cases that a vocal tract with a vertical section that is approximately equally long or slightly shorter than the horizontal section performs best. This corresponds most closely to the anatomy of the female vocal tract. The findings are discussed in light of hypotheses regarding the evolutionary development of the vocal tract.",yes
O53,"Ernestus, M., Baayen, H., & Schreuder, R. (2002). The Recognition of Reduced Word Forms. Brain and Language, 81(1), 162–173. https://doi.org/10.1006/brln.2001.2514","This article addresses the recognition of reduced word forms, which are frequent in casual speech. We describe two experiments on Dutch showing that listeners only recognize highly reduced forms well when these forms are presented in their full context and that the probability that a listener recognizes a word form in limited context is strongly correlated with the degree of reduction of the form. Moreover, we show that the effect of degree of reduction can only partly be interpreted as the effect of the intelligibility of the acoustic signal, which is negatively correlated with degree of reduction. We discuss the consequences of our findings for models of spoken word recognition and especially for the role that storage plays in these models.",yes
O54,"Buchanan, L., Hildebrandt, N., & MacKinnon, G. E. (1994). Phonological processing of nonwords by a deep dyslexic patient: A rowse is implicitly a rose. Journal of Neurolinguistics, 8(3), 163–181. https://doi.org/10.1016/0911-6044(94)90024-8","Recent work has shown that implicit phonological knowledge plays a role in the word recognition performance of deep dyslexics (N. Hildebrandt and S. M. Sokol, 1993; R. B. Katz and S. M. Lanzoni, 1992). The results of the current study extend this examination to include the investigation of implicit knowledge of nonword phonology. The data from two lexical decision tasks indicate that nonword phonology is available for processing by a deep dyslexic patient in that she produced a significant pseudohomophone effect as well as semantic priming with pseudohomophone primes in lexical decision.",yes
O55,"Craik, F. I. M., & Tulving, E. (1975). Depth of processing and the retention of words in episodic memory. Journal of Experimental Psychology: General, 104, 268–294. https://doi.org/10.1037/0096-3445.104.3.268","Conducted 10 experiments to evaluate the notion of ""depth of processing"" in human memory. Undergraduate Ss were asked questions concerning the physical, phonemic, or semantic characteristics of a long series of words; this initial question phase was followed by an unexpected retention test for the words. It was hypothesized that ""deeper"" (semantic) questions would take longer to answer and be associated with higher retention of the target words. These ideas were confirmed by the 1st 4 experiments. Exps V-X showed (a) it is the qualitative nature of a word's encoding which determines retention, not processing time as such; and (b) retention of words given positive and negative decisions was equalized when the encoding questions were equally salient or congruous for both types of decision. While ""depth"" (the qualitative nature of the encoding) serves a useful descriptive purpose, results are better described in terms of the degree of elaboration of the encoded trace. Finally, results have implications for an analysis of learning in terms of its constituent encoding operations.",yes
O56,"Ellis, N. C., & Sagarra, N. (2010). Learned Attention Effects in L2 Temporal Reference: The First Hour and the Next Eight Semesters. Language Learning, 60(s2), 85–108. https://doi.org/10.1111/j.1467-9922.2010.00602.x","This article relates adults’ difficulty acquiring foreign languages to the associative learning phenomena of cue salience, cue complexity, and the blocking of later experienced cues by earlier learned ones. It examines short- and long-term learned attention effects in adult acquisition of lexical (adverbs) and morphological cues (verbal inflections) for temporal reference in Latin (1 hr of controlled laboratory learning) and Spanish (three to eight semesters of classroom learning). Our experiments indicate that early adult learning is characterized by a general tendency to focus on lexical cues because of their physical salience in the input and their psychological salience resulting from their simplicity of form-function mapping and from learners’ prior first language knowledge. Later, attention to verbal morphology is modulated by cue complexity and language experience: Acquisition is better in cases of cues of lesser complexity, speakers of morphologically rich native languages, and longer periods of study. Finally, instructional practices that emphasize morphological cues by means either of preexposure or typographical enhancement increase attention to inflections thus to block reliance on adverbial cues.",yes
O57,"Duncan, L. G., Seymour, P. H., & Hill, S. (1997). How important are rhyme and analogy in beginning reading? Cognition, 63(2), 171–208. https://doi.org/10.1016/s0010-0277(97)00001-2,","Current debate over the influence of phonological awareness on early reading development is polarised around small-unit (phoneme) processing and large-unit (onset-rime) processing. These opposing theories were contrasted by assessing the impact of pre-school phonological skills on reading amongst children experiencing their first year of formal instruction by a mixed method. Those beginning readers who could decode nonwords were found to have accomplished this by employing their letter-sound knowledge rather than by making analogies based on familiar rime units. Children displayed this pattern of performance regardless of their pre-school rhyming skills. Further investigations revealed that explicit awareness of onset and rime units was poor, even amongst children whose implicit rhyming skills were excellent. This evidence, together with the children's knowledge of orthographic units, was consistent with the view that letter-sound correspondences rather than onset or rime units formed the basis of their first attempts to utilise phonology in reading. The findings are discussed with reference to instructional influences on early reading and phonological awareness.",no
O57,"Seymour, P. H. K., & Duncan, L. G. (1997). Small versus large unit theories of reading acquisition. Dyslexia, 3(3), 125–134. https://doi.org/10.1002/(SICI)1099-0909(199709)3:3<125::AID-DYS85>3.0.CO;2-4","Accounts of the early stage of reading acquisition distinguish between a small unit approach, in which the learning of letters and their correspondence with phonemes is emphasised, and a large unit approach in which a naturally developing awareness of rhyme provides a basis for structuring vocabulary and reading new words by analogy. Studies of normal reading development suggest that small units are emphasised in the initial stage and that the use of larger units does not become apparent until the second or third year of learning. This sequence is also reflected in the development of a conscious (metalinguistic) awareness of speech segments.",no
O57,"Levels of phonological awareness and learning to read. Reading and Writing: An Interdisciplinary Journal, 6, 221–250. https://doi.org/10.1007/BF01027084","Reports on segmentation performance by 28 nursery children (aged 3–4 yrs), who had not yet started to learn reading, and by 60 primary 1 and 2 children (aged 4–6 yrs) in the early stages of learning by a standard method of whole word acquisition combined with letter-sound learning. Rhyme and alliteration production tasks were applied with segmentation tasks, requiring division of monosyllabic words or non-words of simple or complex structure into 2, 3, or as many parts as possible. Performance was related to the hierarchical model of the syllable that distinguishes a 2-dimensional (2D) level, a 3-D level, and many-dimensional (nD) level. It was hypothesized that phonological awareness would develop from larger to smaller units, predicting that segmentation would emerge as 2D to 3D to nD. Findings indicate the reverse order.",no
O58,"Allum, P. H., & Wheeldon, L. R. (2007). Planning scope in spoken sentence production: The role of grammatical units. Journal of Experimental Psychology: Learning, Memory, and Cognition, 33, 791–810. https://doi.org/10.1037/0278-7393.33.4.791","Four experiments investigate the scope of grammatical planning during spoken sentence production in Japanese and English. Experiment 1 shows that sentence latencies vary with length of sentence-initial subject phrase. Exploiting the head-final property of Japanese, Experiments 2 and 3 extend this result by showing that in a 2-phrase subject phrase, sentence latency varies with the length of the sentence-initial phrase rather than that of the whole subject phrase or its head phrase. Experiment 4 confirms this finding in English. The authors' interpretation suggests that these effects derive from grammatical encoding processes. Planning scope varies according to the relation between the 2 phrases composing the subject phrase. A thematically defined functional phrase is suggested as defining this scope.",yes
O59,NA,NA,partial
O60,"Bornstein, B., & Wilson, J. (2004). Extending the revelation effect to faces: Haven’t we met before? Memory, 12(2), 140–146. https://doi.org/10.1080/09658210244000289","The revelation effect is an episodic memory phenomenon where participants are more likely to report that they recognise an item when it is judged after an interpolated task than when it is not. Although this effect is very robust, nearly all of the extant research has used verbal or readily verbalisable stimuli. The present two experiments examined whether a revelation effect could be produced with non-verbal stimuli such as faces. A revelation effect was found in both experiments, for both targets and lures, using faces as stimuli. The findings are integrated into the prevailing empirical frameworks for the revelation effect and face recognition memory.",partial
O61,"Belke, E., & Stielow, A. (2013). Cumulative and Non-Cumulative Semantic Interference in Object Naming: Evidence from Blocked and Continuous Manipulations of Semantic Context. Quarterly Journal of Experimental Psychology, 66(11), 2135–2160. https://doi.org/10.1080/17470218.2013.775318","Experiments involving blocked and continuous manipulations of the semantic naming context demonstrate that, when speakers name several taxonomically related objects in close succession, they display persistent interference effects. A review of studies using the blocked paradigm shows that, unlike the continuous paradigm, it typically does not induce cumulative interference effects in healthy speakers. This contrasts with the simulation results obtained from a model of semantic context effects recently put forward by Oppenheim and colleagues [Oppenheim, G. M., Dell, G. S., & Schwartz, M. F. (2010). The dark side of incremental learning: A model of cumulative semantic interference during lexical access in speech production. Cognition, 114, 227--262], which generates cumulative effects in both paradigms. We propose that the effects are non-cumulative in the blocked paradigm, because it allows participants to bias top-down the levels of activation of lexical-semantic representations, thereby curtailing the accumulating interference. Indeed, prior research has shown that the interference effects in the blocked paradigm are exacerbated when participants carry out a concurrent digit-retention task, loading on working memory and reducing their capacity to exert a top-down bias. In Experiment 1, combining the continuous paradigm with a digit-retention task, we demonstrate that this does not exacerbate cumulative context effects, corroborating the selective role of working memory and the associated top-down biasing mechanism in the blocked paradigm. A review of neuropsychological and neuroimaging studies demonstrates that left inferior frontal regions may play a critical role in controlling semantic interference top-down. We discuss the implications of these findings for language production research and for models of lexical-semantic encoding.",yes
O62,"Johnson, J. S., & Newport, E. L. (1989). Critical period effects in second language learning: The influence of maturational state on the acquisition of English as a second language. Cognitive Psychology, 21(1), 60–99. https://doi.org/10.1016/0010-0285(89)90003-0","Tested whether the hypothesis that language acquisition must occur before puberty in order for language to develop (E. Lenneberg, 1967) also applies to 2nd languages. The study compared the English proficiency of 46 native Korean or Chinese speakers who had arrived in the US at ages 3–39 yrs, and who had lived in the US between 3 and 26 yrs at testing. Ss were tested on structures of English grammar, using a grammaticality judgment task. Analyses demonstrated a strong advantage for earlier arrivals over the later arrivals. Test performance was linearly related to age of arrival up to puberty; after puberty, performance was highly variable and unrelated to age of arrival. The age effect also appeared on every grammatical structure tested. Results support the conclusion that a critical period for language acquisition extends its effects to 2nd language acquisition.",yes
O63,"Ferrand, L., Segui, J., & Grainger, J. (1996). Masked Priming of Word and Picture Naming: The Role of Syllabic Units. Journal of Memory and Language, 35(5), 708–723. https://doi.org/10.1006/jmla.1996.0037","A series of word, nonword, and picture naming experiments is reported using the masked priming paradigm with very brief prime exposures. In Experiment 1 naming latencies for both bi- and trisyllabic words were faster when preceded by primes that corresponded to the first syllable than when preceded by primes that contained one letter more or less than the first syllable. Experiment 2 showed syllable priming effects with bisyllabic nonword targets in the naming task. Experiment 3 failed to observe such syllable priming effects with word and nonword targets in the lexical decision task. Finally, Experiment 4 replicated the syllabic priming effects using pictures as targets. These results suggest that the syllable represents a functional unit of output phonology in French.",no
O64,"Smith, V. L., & Clark, H. H. (1993). On the Course of Answering Questions. Journal of Memory and Language, 32(1), 25–38. https://doi.org/10.1006/jmla.1993.1002","People responding to questions are sometimes uncertain, slow, or unable to answer. They handle these problems of self-presentation, we propose, by the way they respond. Twenty-five respondents were each asked 40 factual questions in a conversational setting. Later, they rated for each question their feeling that they would recognize the correct answer, then took a recognition test on all 40 questions. As found previously, the weaker their feeling of knowing, the slower their answers, the faster their nonanswers (""I don′t know""), and the worse their recognition. But further, as proposed, the weaker their feeling of knowing, the more often they answered with rising intonation, used hedges such as ""I guess,"" responded ""I don′t know"" instead of ""I can′t remember,"" and added ""uh"" or ""um,"" self-talk, and other face-saving comments. They reliably used ""uh"" to signal brief delays and ""um"" longer ones.",yes
O65,"Concreteness effects revisited: The influence of dynamic visual noise on memory for concrete and abstract words: Memory: Vol 17, No 4. (n.d.). Retrieved March 20, 2023, from https://www.tandfonline.com/doi/abs/10.1080/09658210902802967","Two experiments are presented that investigate the effects of dynamic visual noise (DVN) on memory for concrete and abstract words. Memory for concrete words is typically superior to that of abstract words and is referred to as the concreteness effect. DVN is a procedure that has been demonstrated to interfere selectively with visual working memory and the generation of images from long-term memory. It was reasoned that if concreteness effects arise because of the ability of the latter to activate visual representations, then DVN should selectively impair memory for concrete words. Experiment 1 found DVN to selectively reduce free recall of concrete words. Experiment 2 investigated recognition memory and found DVN to reduce memory accuracy and remember responses, while increasing know responses to concrete words.",yes
O66,"Effects of exact and category repetition in true and false recognition memory | SpringerLink. (n.d.). Retrieved March 20, 2023, from https://link.springer.com/article/10.3758/BF03211560","Two experiments used the distinction between remembering and knowing to investigate the effects of exact and category repetition in recognition memory. In Experiment 1, exact repetition enhanced remember responses but had no reliable effect onknow responses. In Experiment 2, category repetition enhanced correct know responses but had no effect on correct remember responses. Category repetition also increased false positive remember and know responses. It is argued that exact repetition influences the recollection component of recognition memory via the creation of multiple episodic traces, each of which is potentially capable of supporting a remember response, whereas category repetition influences the familiarity component of recognition memory by enhancing the fluency with which test items are processed.",yes
